Facebook,VisitsPerWeek,Friends,Age,Gender,
1,5,31,49,0,
1,6,33,38,1,
0,0,0,26,1,
1,66,193,41,2,
1,27,76,38,2,
0,0,0,43,1,
0,0,0,20,1,
0,0,0,19,2,
1,21,40,66,1,
1,12,32,65,2,
1,9,16,19,2,
1,1,2414,24,0,
1,7,721,23,1,
1,4,308,22,1,
1,1,223,25,0,
0,0,0,22,1,
1,5,125,38,0,
1,3,87,52,0,
1,2,109,55,1,
1,10,113,40,1,
1,40,167,35,0,
1,12,73,57,1,
0,0,0,69,1,
1,20,100,52,1,
1,50,80,62,0,
1,80,125,37,0,
1,40,230,29,1,
0,0,0,72,0,
1,40,167,35,0,
1,12,73,57,1,
0,0,0,69,1,
1,20,100,52,1,
1,50,80,62,0,
1,80,125,37,0,
1,40,230,29,1,
0,0,0,72,0,
1,22,36,65,1,
1,12,24,67,0,
0,45,9,17,0,
1,21,17,17,0,
0,49,32,18,1,
1,36,48,16,1,
1,48,10,24,0,
0,62,26,17,0,
1,74,3,26,1,
0,0,0,19,0,
0,0,0,15,0,
1,0,0,15,0,
0,0,0,19,0,
1,50,804,52,1,
1,10,140,21,1,
1,15,301,28,1,
1,25,350,20,1,
1,40,218,68,1,
1,30,120,51,0,
1,34,500,20,1,
0,0,0,36,0,
1,45,1000,66,0,
1,4,9,54,1,
0,0,0,23,0,
1,17,400,38,1,
1,57,1300,47,1,
1,28,1600,23,0,
1,30,230,33,1,
1,30,150,40,0,
1,150,2000,25,1,
1,20,300,50,1,
0,0,0,48,0,
1,20,80,51,1,
0,0,0,17,1,
2,10,60,34,0,
1,200,1500,29,1,
2,150,800,31,0,
1,10,784,27,1,0
0,0,0,19,1,0
1,35,116,37,1,0
1,10,265,58,1,0
1,30,1090,65,1,0
0,0,0,22,0,0
1,14,492,22,0,0
0,0,0,21,0,0
0,0,0,64,0,0
1,4,75,54,0,
0,0,0,19,1,
1,1,25,19,1,
1,1,5,19,1,
1,1,250,20,0,
1,2,400,25,1,
0,0,0,15,0,
1,0,100,57,0,
1,7,150,48,1,
1,7,480,50,0,
0,0,0,18,0,
1,40,180,20,0,
0,0,0,18,1,
1,35,104,47,1,
1,44,64,54,0,
0,0,0,50,1,
0,0,0,17,0,
1,55,218,52,0,
0,0,0,19,0,
1,10,36,20,1,
1,20,20,74,1,
0,0,0,48,0,
1,100,122,47,1,
1,7,100,30,1,
1,70,1028,30,1,
0,0,0,11,0,
0,0,0,3,0,
0,0,0,7,1,
1,50,2000,36,0,
0,0,0,57,1,
0,0,0,16,0,
1,0.02,2,20,0,
1,20,100,25,1,
1,1,10,53,1,
1,3,50,20,1,
0,0,0,19,1,
0,0,0,59,0,
1,5,30,73,1,
1,0.05,5,23,0,
1,200,2607,19,0,
1,70,970,15,1,
1,40,49,55,0,
1,180,4140,21,0,
1,242,676,17,1,
1,165,1359,18,0,
1,194,2630,24,0,
1,100,1617,26,1,
1,250,1233,16,1,
1,5,109,78,1,
1,7,2000,24,0,
1,100,403,51,1,
1,1,1000,28,1,
1,15,100,52,0,
0,0,0,21,0,
0,0,0,25,0,
1,50,700,26,1,
1,5,88,17,0,
1,21,2100,25,1,
1,24,1704,28,1,
1,10,27,63,1,
1,50,109,53,0,
0,0,0,59,0,
1,70,345,51,1,
1,42,142,54,1,
1,21,964,44,1,
1,7,803,55,0,
1,7,130,54,0,
1,21,973,38,1,
1,21,1333,47,1,
1,42,1045,39,0,
1,14,1416,47,0,
1,21,745,47,1,
1,7,299,57,1,
1,21,807,46,1,
0,0,0,20,1,
0,0,0,14,1,
1,1,10,53,1,
1,6,30,22,0,
0,0,0,23,0,
1,17,58,27,1,
1,4,21,54,0,
1,3,72,88,1,
0,0,0,18,1,
0,0,0,49,0,
0,0,0,48,1,
1,30,67,38,1,
0,0,0,78,1,
1,45,103,22,0,
0,0,0,18,1,
0,0,0,18,0,
1,78,89,35,0,
0,0,0,26,1,
1,12,23,51,0,
1,40,200,43,1,
1,35,85,51,0,
1,42,961,28,0,
1,40,150,27,1,
1,105,70,22,0,
1,10,30,54,1,
1,10,100,16,0,
1,42,500,25,0,
1,70,793,23,1,
1,85,969,37,0,
1,10,0,20,1,
1,40,100,69,1,
0,0,0,44,0,
1,3,225,22,0,
1,5,120,74,1,
1,100,350,27,1,
0,0,0,20,1,
1,0,30,45,1,
1,100,1000,35,1,
0,0,0,17,1,
1,0,369,30,1,
0,0,0,52,1,
1,1,19,52,0,
1,2,50,32,0,
1,0,39,17,0,
1,2,126,22,1,
0,0,0,45,0,
0,0,0,20,0,
1,1,98,17,0,
1,5,4,45,1,
1,50,1500,51,0,
0,0,0,75,0,
1,27,300,28,1,
1,1,46,20,1,
1,2,10,51,0,
1,10,80,62,1,
1,3,12,49,0,
1,15,32,45,0,
0,0,0,55,0,
1,8,30,59,0,
1,20,405,58,1,
1,10,697,70,1,
0,0,0,60,0,
1,1,25,26,0,
1,5,80,17,1,
0,0,0,22,1,
0,0,0,55,1,
1,2,42,35,0,
1,10,71,47,0,
1,1,10,36,0,
0,0,0,18,0,
0,0,0,18,1,
0,0,0,39,1,
1,3,52,40,0,
0,0,0,49,0,
0,0,0,48,1,
1,1,15,63,1,
0,0,0,25,0,
1,1,100,28,1,
0,0,0,78,1,
1,7,526,31,1,
1,7,365,60,1,
1,14,800,31,1,
1,20,265,65,1,
1,4,543,27,0,
1,6,268,45,0,
1,8,1537,23,0,
1,10,821,30,0,
1,2,102,18,1,
1,25,87,22,0,
0,0,0,89,0,
1,21,23,32,1,
1,22,54,45,0,
0,0,0,77,0,
1,45,23,45,1,
1,75,38,33,1,
0,0,0,67,0,
1,78,599,21,0,
1,12,335,36,1,
1,20,211,29,0,
1,8,600,24,1,
0,0,0,51,0,
0,0,0,48,0,
1,18,426,23,1,
0,0,0,39,1,
1,31,400,25,0,
0,0,0,55,1,
1,10,250,33,1,
0,0,0,55,0,
1,10,357,43,1,
1,5,63,22,1,
1,5,227,26,0,
1,20,1028,57,1,
0,0,0,64,0,
1,35,652,36,1,
0,0,0,17,1,
1,15,134,29,1,
1,0,5,17,0,
1,80,799,45,1,
1,35,50,50,0,
1,21,761,22,0,
1,0,10,18,0,
1,0,75,17,1,
1,120,1300,42,1,
1,10,50,72,0,
1,70,1000,44,1,
1,65,825,49,1,
1,2,188,17,0,
0,0,0,17,0,
0,0,0,18,1,
1,2,3,17,0,
1,2,843,52,1,
0,0,0,16,0,
1,10,367,43,1,
1,6,199,67,1,
1,2,182,19,2,
1,35,1216,44,0,
1,5,4,45,1,
1,50,1500,51,0,
0,0,0,0,0,
1,27,300,27,1,
1,80,560,35,1,
1,0,4,38,0,
1,45,600,36,1,
1,175,899,37,1,
1,12,77,41,0,
1,619,6600,18,1,
0,0,0,39,1,
1,50,1500,51,0,
1,5,4,45,0,
1,27,300,28,0,
1,5,250,39,1,
1,2,50,39,1,
1,20,25,25,1,
1,15,25,28,1,
0,0,0,64,0,
1,21,369,20,1,
1,7,52,19,1,
1,10,537,21,1,
1,14,90,65,1,
1,14,267,21,0,
1,30,139,25,0,
1,14,105,65,0,
1,35,493,32,1,
1,50,335,39,1,
1,5,4,45,1,
1,50,1500,51,0,
0,0,0,75,0,
1,27,300,28,1,
