41,Switzerland,"870,834",#ERROR!,"11,231",,"826,584",#ERROR!,"33,019",85,"99,659","1,285","11,619,402","1,329,734","8,738,138"
42,Hungary,"859,378",#ERROR!,"30,692",45,"797,142",707,"31,544",204,"89,259","3,188","7,348,118","763,207","9,627,954"
43,Jordan,"858,342",#ERROR!,"11,000",17,"827,523",#ERROR!,"19,819",577,"83,038","1,064","10,885,037","1,053,043","10,336,749"
44,Austria,"813,334",#ERROR!,"11,316",27,"765,385",#ERROR!,"36,633",265,"89,631","1,247","96,262,394","10,608,339","9,074,219"
45,Nepal,"811,407",527,"11,382",2,"789,789",664,"10,236",,"27,203",382,"4,402,582","147,602","29,827,345"
46,UAE,"739,654",88,"2,135",,"733,782",142,"3,737",,"73,612",212,"92,486,713","9,204,498","10,047,991"
47,Greece,"731,167",#ERROR!,"15,801",31,"676,427",#ERROR!,"38,939",391,"70,605","1,526","25,510,912","2,463,442","10,355,800"
48,Tunisia,"712,139",,"25,221",,"685,570",,"1,348",116,"59,435","2,105","3,058,431","255,258","11,981,740"
49,Georgia,"707,290",#ERROR!,"9,918",45,"647,878",#ERROR!,"49,494",,"177,753","2,493","10,091,598","2,536,180","3,979,054"
50,Lebanon,"639,332",,"8,472",,"613,968",,"16,892",200,"94,226","1,249","4,780,275","704,528","6,785,070"
51,Guatemala,"597,768",,"14,862",,"576,117",,"6,789",5,"32,572",810,"2,865,610","156,145","18,352,224"
52,Belarus,"594,203",#ERROR!,"4,580",17,"567,058",#ERROR!,"22,565",,"62,910",485,"9,515,805","1,007,473","9,445,219"
53,Bulgaria,"587,765",,"23,594",,"473,628",,"90,543",607,"85,439","3,430","5,419,897","787,852","6,879,337"
54,Costa Rica,"558,654",,"7,008",,"491,197",,"60,449",296,"108,361","1,359","2,544,016","493,458","5,155,486"
55,Saudi Arabia,"548,474",51,"8,788",3,"537,453",35,"2,233",59,"15,438",247,"30,233,942","850,976","35,528,533"
56,Sri Lanka,"538,718",398,"13,674",,"511,863",#ERROR!,"13,181",,"25,020",635,"5,381,256","249,922","21,531,760"
