rhhnum,region,geoid10,anyvmt,lnvmt,autotrips,anywalk,walktrips,anybike,biketrips,anytransit,transittrips,veh,hhsize,hhworker,htype,sf,hhincome,lnhhincome,income_cat,actden,jobpop,entropy,intden,pct4way,stopden,emp10a,emp20a,emp30a,emp30t,intptlat10,intptlon10
60002001,6,530330293031,0, ,0,0, ,0, ,0, ,1,1,1,1,1,51.38838,3.93941207686453,2,5.94866251477381,.951688896386983,.444300953834154,119.90339212406,21.4285714285714,14.2742133481024,1.2022030004667,13.505385162597,35.6842917276472,11.4453395801522,47.4429499,-122.1918345
60002006,6,530330260014,1,2.29580540600867,4,0, ,0, ,0, ,1,3,1,1,1, , , ,4.38559723266059,.74951583733234,.532031553076748,137.480981797518,37.7777777777778,15.2756646441687,1.5747126176376,23.7821082107305,49.823855114885,16.3834000154056,47.491135,-122.2325559
60002016,6,530330054003,1,2.95861786770898,3,0, ,0, ,0, ,1,1,1,1,1,119.90622,4.78670993725173,3,21.2379976473346,.300452317905515,.828866432548256,283.80054168886,54.3478260869565,55.5261929391248,18.68211908527,32.8310277799174,56.112680619305,29.8708308601308,47.6502651,-122.3424926
60002033,6,530610519057,1,3.69208377425175,8,0, ,0, ,0, ,2,2,2,1,1,97.06694,4.57540084358452,3,4.01533511809242,.584926258333371,.151544323368781,133.728346294696,11.5384615384615,25.7169896720569,1.96647923189502,11.7806945205914,37.3116212579124,5.4811643913203,47.8116018,-122.2651275
60002058,6,530530735002,1,4.09794168840295,8,0, ,0, ,0, ,2,2,2,1,1,17.12946,2.84079978819642,1,1.22972783810216,.680974244992163,0,65.2004915113975,30.7692307692308,0,.0659268959080014,7.02415960199185,18.3933207671988,9.52026289199317,47.2192368,-122.2769084
60002062,6,530330080013,0, ,0,1,2,0, ,1,1,0,1,0,3,0,28.5491,3.35162541196241,1,54.0021445688071,.170246911473219,.912662818041343,262.146776494172,65.6862745098039,110.512856757347,22.817389294922,38.124663002551,60.4588149470546,32.2931345407093,47.6150718,-122.3555298
60002065,6,530610401002,1,1.66079877210663,5,1,1,0, ,0, ,2,2,2,1,1,85.6473,4.45023770063052,3,4.10653505955013,.476925591773144,.796038947685815,119.607686787338,9.09090909090909,7.24895071438409,1.89692748947662,6.61534488149017,11.3283816419648,6.39830719667964,48.0121598,-122.2009126
60002067,6,530610519263,1,3.25601537181766,7,0, ,0, ,0, ,2,2,1,1,1,28.5491,3.35162541196241,1,2.09299955210939,.56139817505928,.0429365719118767,39.4143740639086,27.2727272727273,0,1.19302760773723,6.78797819654824,28.2687053407582,4.39427682046588,47.8025257,-122.1757926
60002070,6,530330322033,1,4.19902917383257,4,0, ,0, ,0, ,4,3,3,1,1,171.2946,5.14338488119046,3,1.51374706973453,.565944824610729,0,95.8845682053385,6.89655172413793,0,.113446368130349,7.24527523912659,21.9814090684598,12.8904639350428,47.5954699,-122.0694173
60002071,6,530330102001,1,3.21652011117574,14,1,2,0, ,0, ,3,4,2,1,1,131.32586,4.87768171545746,3,5.57801445312914,.436333328339946,.103852484461191,235.441346469971,40.5405405405405,36.0585845945,1.28291247354995,29.3685630655327,55.1444501334397,23.3082161677217,47.555977,-122.2657498
60002109,6,530330224005,1,2.81248005126708,2,0, ,0, ,0, ,1,1,1,2,0,39.96874,3.68809764858362,2,3.21945068178031,.750314671043042,.285085733742468,271.422198573555,59.4059405940594,53.7469700145654,2.39851562535399,16.6302294074735,52.5927281047943,14.1217789840461,47.6808586,-122.2142514
60002110,6,530330320053,1,3.570812287187,3,1,4,0, ,0, ,1,3,1,1,1,51.38838,3.93941207686453,2,6.77070074157868,.0732403231331961,.297943853180618,146.639852522205,20,41.8971007206301,.196761199642953,3.53564130331356,15.9570840828459,2.77425362144822,47.3626812,-122.082168
60002120,6,530330203002,1,2.62642967274746,5,1,2,0, ,0, ,2,2,2,1,1,131.32586,4.87768171545746,3,7.6597851345032,.881329257098934,.25823437182864,164.585831511133,28.5714285714286,31.3496821925968,2.95849777298493,12.6711040829365,41.5839559762391,7.97313309077069,47.7670499,-122.3334846
60002128,6,530330074014,0, ,0,1,4,0, ,1,2,0,1,1,3,0,39.96874,3.68809764858362,2,52.0368348744438,.513188049095346,.686490411379013,311.654805717104,57.3913043478261,121.951880497997,21.4110621253381,38.3778925142389,61.4247232656242,30.2652028328175,47.6219999,-122.3248507
60002158,6,530330097022,1,2.9654328870701,2,1,4,0, ,0, ,2,1,0,1,1,74.22766,4.30713685698984,2,8.04747786619991,.693243782406936,.334215227827359,164.858648973195,71.6049382716049,44.7764231779049,.671786007186258,21.4131011015002,43.5522476313894,20.3652939070861,47.5681132,-122.3925907
60002163,6,530330096004,1,3.81830615020238,11,0, ,0, ,1,1,2,2,0,1,1,165.58478,5.10948332951478,3,9.71357163213571,.636437991310498,.104496873165765,217.475274359665,49.2537313432836,25.9671969384675,1.83162361406259,26.2814965178818,48.4199633890502,17.9763501420487,47.5878761,-122.388848
60002206,6,530610513006,1,2.68504866429679,5,0, ,0, ,0, ,1,1,1,1,1, , , ,6.337340520102,.984900545888223,.258675292255234,133.89686448473,28.2608695652174,46.5728224294713,2.40820076212398,10.3357967186077,41.1254128926728,6.617440495879,47.7822533,-122.2939529
60002220,6,530330268024,1,2.71127731160759,5,0, ,0, ,0, ,2,3,2,1,1,39.96874,3.68809764858362,2,7.23779244897124,.56796836817378,.540385039447515,155.438295087332,28.9473684210526,20.4524072483331,2.14868440726963,28.1770080516903,47.2951848445167,17.8177064689917,47.4968033,-122.3456969
