Brooklyn Rolling Sales.  All Sales From October 2021 - September 2022,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 10/11/2022 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.  Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,239,,A5,262 BAY 13TH STREET,,11214,1,0,1,"1,648",928,1945,1,A5,"762,000",12/21/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,246,,A5,278 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"780,000",11/12/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,256,,A5,298 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"840,000",6/15/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,274,,A5,259 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1940,1,A5,0,4/8/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,306,,A5,327 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,"771,000",11/19/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,318,,A5,312 BAY 13TH STREET,,11214,1,0,1,"1,653",928,1945,1,A5,"758,000",2/14/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,331,,A5,1131 SHORE PARKWAY,,11214,1,0,1,"2,380",986,1945,1,A5,"880,000",7/26/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6463,78,,A5,8896 18 AVENUE,,11214,1,0,1,"1,372",992,1950,1,A5,"799,000",1/24/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6464,47,,A5,274 BAY 20TH STREET,,11214,1,0,1,"1,600","1,320",1940,1,A5,"930,000",1/28/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6465,92,,A5,8849 19TH AVENUE,,11214,1,0,1,"1,740","1,485",1940,1,A5,"750,000",12/6/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,20,,S1,8820 20TH AVE,,11214,1,1,2,"2,785","2,034",1944,1,S1,0,9/6/2022
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,79,,A5,234 BAY 23RD STREET,,11214,1,0,1,"2,106","1,320",1945,1,A5,"710,000",10/4/2021
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,83,,A5,244 BAY 23RD STREET,,11214,1,0,1,"6,156","1,320",1945,1,A5,"995,000",7/14/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,8,,B1,8663 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"690,000",2/28/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,26,,B1,8613 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"990,000",3/22/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,27,,B1,8611 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,12/28/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,3,,B1,77 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,8/12/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,9,,B1,63 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,400,000",6/27/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,23,,B1,31 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,500,000",8/8/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,20,,B3,8651 15TH AVENUE,,11228,2,0,2,"1,546","1,428",1930,1,B3,0,8/5/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,32,,B3,19 BAY 10TH STREET,,11228,2,0,2,"2,103","1,622",1930,1,B3,0,3/21/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,67,,B1,66 BAY 11TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,275,000",4/19/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6362,59,,B1,8640 16TH AVENUE,,11214,2,0,2,"2,272","3,135",1935,1,B1,"1,600,000",9/9/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6363,52,,B3,22 BAY 13 STREET,,11214,2,0,2,"4,333","2,134",1901,1,B3,"1,600,000",10/5/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,11,,B2,71 BAY 13TH STREET,,11214,2,0,2,"3,142","1,932",1925,1,B2,"250,000",11/1/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,21,,B1,49 BAY 13TH STREET,,11214,2,0,2,"2,167","1,968",1899,1,B1,"988,000",11/15/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,30,,B1,27 BAY 13TH STREET,,11214,2,0,2,"2,166","2,922",1960,1,B1,0,8/25/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,54,,B2,24 BAY 14TH STREET,,11214,2,0,2,"2,752","1,606",1930,1,B2,"880,000",8/5/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6365,59,,B1,8638 17 AVE,,11214,2,0,2,"2,763","2,400",1950,1,B1,"1,548,000",7/11/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,12,,B2,8667 17TH AVENUE,,11214,2,0,2,"1,933","2,904",1920,1,B2,0,11/12/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,16,,B2,8659 17TH AVENUE,,11214,2,0,2,"1,933","2,880",1920,1,B2,"1,120,000",7/26/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6367,29,,B9,8633 BAY 16TH STREET,,11214,2,0,2,"2,803","3,060",1960,1,B9,"1,600,000",2/16/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,23,,B2,21 BAY 17TH STREET,,11214,2,0,2,"2,417","2,688",1905,1,B2,"1,280,000",4/21/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,45,,S2,8634 18TH AVENUE,,11214,2,1,3,"1,933","3,000",1909,1,S2,0,6/1/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,81,,A5,74 BAY 19TH STREET,,11214,1,0,1,985,"1,200",1930,1,B3,0,10/28/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6370,75,,B2,48 BAY 20TH STREET,,11214,2,0,2,"4,833","1,800",1920,1,B2,"1,400,000",3/29/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,14,,B1,91 BAY 20TH STREET,,11214,2,0,2,"1,933","1,460",1899,1,B1,"700,000",6/7/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,61,,B3,8624 19TH AVENUE,,11214,2,0,2,"2,417","2,106",1930,1,B3,0,8/18/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,82,,B3,8676 19TH AVENUE,,11214,2,0,2,"2,522","1,430",1920,1,B3,0,1/4/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,21,,B1,8671 19TH AVENUE,,11214,2,0,2,"2,513","2,598",1940,1,B1,"1,430,000",4/21/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,67,,B1,36 BAY 22ND STREET,,11214,2,0,2,"1,837","3,424",1965,1,B1,"1,500,000",1/26/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6373,68,,B2,36 BAY 23RD STREET,,11214,2,0,2,"3,867","3,165",1930,1,B2,0,12/16/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6374,64,,S2,8638 20TH AVENUE,,11214,2,1,3,"4,060","2,819",1920,1,S2,0,4/15/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6375,61,,B3,60 BAY 25TH STREET,,11214,2,0,2,"5,800","2,894",1920,1,B3,0,3/14/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6376,70,,B2,64 BAY 26TH STREET,,11214,2,0,2,"2,900","2,544",1930,1,B2,0,3/10/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6377,14,,B3,61 BAY 26,,11214,2,0,2,"3,867","2,424",1901,1,B3,"1,650,000",1/28/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6391,13,,B9,8753 14TH AVENUE,,11228,2,0,2,"2,126","1,701",1950,1,B9,"1,110,000",9/13/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6391,66,,B3,140 BAY 7TH STREET,,11228,2,0,2,"1,933","2,260",1960,1,B3,"1,067,000",10/27/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,1,,B3,1465 BATH AVENUE,,11228,2,0,2,"5,800","2,956",1910,1,B3,0,2/15/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,7,,B3,1457 BATH AVENUE,,11228,2,0,2,"1,933","1,410",1920,1,B3,"975,000",6/21/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,37,,B1,93 BAY 8TH STREET,,11228,2,0,2,"2,296","2,160",1940,1,B1,"1,450,000",7/13/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,72,,B1,8754 15TH AVENUE,,11228,2,0,2,"1,933","2,347",1940,1,B1,"999,000",12/23/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,11,,B3,1501 BATH AVENUE,,11228,2,0,2,"1,725","1,750",1920,1,B3,0,10/12/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,36,,B1,8691 15TH AVENUE,,11228,2,0,2,"2,344","2,160",1940,1,B1,"1,455,000",11/8/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,18,,B3,141 BAY 10TH STREET,,11228,2,0,2,"1,933","1,068",1925,1,B3,"1,230,000",8/18/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,18,,B3,141 BAY 10TH STREET,,11228,2,0,2,"1,933","1,068",1925,1,B3,"1,399,000",1/13/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,24,,B2,123 BAY 10TH STREET,,11228,2,0,2,"3,866","2,248",1925,1,B2,"1,350,000",8/8/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,45,,B1,92 BAY 11TH STREET,,11228,2,0,2,"1,863","1,920",1935,1,B1,0,9/8/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,58,,B9,124 BAY 11TH STREET,,11228,2,0,2,"1,957","2,125",1955,1,B9,"1,375,000",7/21/2022
