"id","weight","total.length","fork.length","standard.length","gonad.weight","gsi","age","otolith.weight","gender","reproductive.stage"
"T2F5",712,400,340,310,18.5,2.6,13,0.226,"m","2"
"T2A4",939,410,340,310,38.79,4.13,17,0.226,"m","2"
"T1B1",882,395,345,320,35.76,4.05,16,0.225,"m","2"
"T3B5",793,400,350,310,10.8,1.36,7,0.212,"m","2"
"T3B8",846,390,350,310,4.75,0.56,10,0.214,"m","2"
"T2D8",791,410,350,330,9.46,1.2,11,0.248,"m","2"
"T1D8",746,400,355,325,24.6,3.3,6,0.161,"m","2"
"T1B7",874,420,360,325,32.58,3.73,6,0.159,"m","2"
"T1B8",875.5,420,360,320,33.91,3.87,6,0.125,"m","2"
"T2B4",756,400,360,320,44.13,5.84,6,0.161,"m","2"
"T1A7",1175,440,370,340,70.82,6.03,7,0.213,"m","2"
"T2B2",784,400,370,325,59.45,7.58,10,0.213,"m","2"
"T1E3",900,440,375,340,48.9,5.43,10,0.223,"m","2"
"T2F3",1045,440,380,340,33.96,3.25,8,0.245,"m","2"
"T1F2",893,435,385,350,31.7,3.55,10,0.235,"m","2"
"T2D3",1006,435,390,360,35.32,3.51,9,0.225,"m","2"
"T1B4",1210,458,395,360,74.61,6.17,9,0.214,"m","2"
"T3B1",1121,450,400,360,25.13,2.24,8,0.161,"m","2"
"T3B4",1171,460,400,360,6.81,0.58,15,0.278,"m","2"
"T1A6",1811.5,520,480,430,57.78,3.19,14,0.31,"m","2"
