Detector,X_CORD,Y_CORD,1,2,3,4,5
J13Jul,428253,6525490,1,1,1,0,0
J14Jul,428168,6525086,1,1,1,0,0
J15Jul,427680,6525014,1,0,0,0,0
J16Jul,427254,6524803,1,1,0,0,0
J18Jul,426408,6524420,0,1,1,0,0
J19Jul,426372,6523950,1,1,1,0,0
J20Jul,426406,6523486,1,0,0,0,0
J21Jul,426334,6523049,1,1,1,0,0
J22Jul,426625,6522663,1,1,1,0,0
J23Jul,426928,6522292,1,1,1,0,0
J24Jul,427088,6521811,1,0,1,0,0
J25Jul,427431,6521502,1,1,1,0,0
J26Jul,427906,6521444,1,1,1,0,0
J27Jul,428320,6521231,1,1,1,0,0
J28Jul,428781,6521122,1,1,1,0,0
J29Jul,429255,6521011,1,0,1,0,0
J30Jul,429750,6521011,1,1,1,0,0
J31Jul,430234,6521050,1,1,1,0,0
J32Jul,430665,6520840,1,1,1,0,0
J33Jul,431089,6520837,1,1,1,0,0
J34Jul,431308,6520841,1,1,1,0,0
J35Jul,431786,6520905,1,1,1,0,0
J36Jul,432261,6520961,1,1,1,0,0
J37Jul,432632,6520788,1,1,1,0,0
J38Jul,433099,6520949,1,1,0,0,0
J39Jul,433578,6520956,0,1,1,0,0
J40Jul,434046,6521051,1,1,1,0,0
J41Jul,434516,6521068,1,1,1,0,0
J42Jul,435019,6521004,1,1,1,0,0
J43Jul,432644,6521188,1,0,1,0,0
J44Jul,432843,6521633,1,1,1,0,0
J45Jul,433001,6522060,1,1,1,0,0
J46Jul,432814,6522450,1,1,1,0,0
J47Jul,432463,6522740,1,1,0,0,0
J48Jul,431981,6522639,1,1,1,0,0
J49Jul,431839,6522993,1,1,1,0,0
J50Jul,432223,6523257,1,0,0,0,0
J51Jul,425869,6523518,1,1,0,0,0
J52Jul,425412,6523711,1,1,0,0,0
J53Jul,424928,6523671,1,1,1,0,0
J54Jul,424467,6523596,1,1,1,0,0
J55Jul,423998,6523619,1,1,1,0,0
J56Jul,424046,6523121,1,1,1,0,0
J57Jul,424384,6522971,1,1,1,0,0
J58Jul,424814,6522893,1,1,1,0,0
J59Jul,424684,6522462,1,1,1,0,0
J60Jul,424596,6521978,1,1,1,0,0
J61Jul,424550,6521486,1,1,1,0,0
J62Jul,424566,6520986,1,1,1,0,0
J63Jul,424907,6520586,1,1,1,0,0
J64Jul,425360,6520351,1,1,1,0,0
J65Jul,425783,6520494,1,1,1,0,0
J66Jul,426154,6520793,0,1,0,0,0
J67Jul,426541,6521079,0,1,1,0,0
J68Jul,426937,6521381,0,1,0,0,0
J69Jul,428358,6520747,1,1,1,0,0
J70Jul,428160,6520351,1,1,0,0,0
J71Jul,427744,6520055,1,1,1,0,0
J72Jul,427512,6519630,1,1,1,0,0
J73Jul,427128,6519324,1,0,1,0,0
J74Jul,426667,6519173,1,0,0,0,0
J75Jul,426336,6518833,1,1,1,0,0
J76Jul,426098,6518419,1,1,1,0,0
J77Jul,426024,6517971,1,1,1,0,0
J78Jul,425755,6517559,1,1,1,0,0
J79Jul,425370,6517164,1,1,1,0,0
J80Jul,425001,6517172,1,1,0,0,0
J81Jul,424757,6517492,1,1,1,0,0
J82Jul,424724,6517878,1,1,1,0,0
J83Jul,424702,6518342,1,1,1,0,0
J84Jul,424514,6518796,1,1,1,0,0
J85Jul,424424,6519253,1,1,1,0,0
J86Jul,424390,6519691,1,1,1,0,0
J87Jul,424405,6520141,1,1,1,0,0
J88Jul,423993,6520009,1,1,1,0,0
