Detector,X_CORD,Y_CORD,1,2,3
bush42Jul,426285.5927,6520073.48,1,1,1
bush43Jul,426151.1167,6519949.175,1,1,1
bush44Jul,426003.6752,6519864.25,1,1,1
bush45Jul,425826.3135,6519823.517,1,1,1
bush46Jul,425657.3067,6519797.643,1,1,1
bush47Jul,425483.7892,6519811.207,1,1,1
bush48Jul,425322.8893,6519834.728,1,1,1
bush49Jul,425148.9458,6519907.493,1,1,1
bush50Jul,424979.4423,6519950.683,1,1,1
C15Jul,426609.4118,6524498.689,1,1,1
C16Jul,426423.225,6524433.645,1,1,1
C17Jul,426356.6306,6524261.559,1,1,1
C18Jul,426327.2097,6524075.502,1,1,1
C19Jul,426405.831,6523889.475,1,1,1
C20Jul,426435.9924,6523678.898,1,0,1
C21Jul,426400.2311,6523492.985,1,1,1
C22Jul,426330.6328,6523342.125,1,1,1
C23Jul,426271.0187,6523147.907,1,1,1
C24Jul,426380.7126,6522958.22,1,1,1
C25Jul,426471.3188,6522800.719,1,1,1
C26Jul,426615.1368,6522669.097,1,1,1
C27Jul,426793.7642,6522541.773,1,1,1
C28Jul,426890.5627,6522380.799,1,1,1
C29Jul,426966.1422,6522197.152,1,1,1
C30Jul,427033.8514,6522005.125,1,1,1
Hw01Jul,428243.3411,6526094.154,1,1,1
Hw02Jul,428244.3657,6525875.615,1,1,1
Hw03Jul,428249.9896,6525703.117,1,1,1
Hw04Jul,428253.8155,6525514.158,1,1,1
Hw05Jul,428261.4871,6525296.773,0,1,1
BC01Dry,492854.537,6364945.632,0,0,0
BC02Dry,492853.2918,6364467.946,0,0,0
BC03Dry,493035.8173,6364098.92,0,0,0
BC04Dry,493033.8326,6363729.097,0,0,0
BC05Dry,493222.1711,6363312.181,0,0,0
BC06Dry,493185.2757,6362820.501,0,0,0
BC07Dry,493446.3782,6362672.017,0,0,0
BC08Dry,493923.8821,6362618.446,0,0,0
BC09Dry,494462.7156,6362622.421,0,0,0
BC10Dry,494655.1346,6362293.501,0,0,0
BC11Dry,494458.397,6361816.592,0,0,0
BC12Dry,494253.1409,6361384.017,0,0,0
BC13Dry,494595.4196,6361158.503,0,0,0
BC14Dry,495023.2845,6361078.689,0,0,0
BC15Dry,495499.3611,6361095.324,0,0,0
BC16Dry,495958.6862,6360909.503,0,0,0
BC17Dry,496361.2392,6360675.195,0,0,0
BC18Dry,496757.9008,6360664.801,0,0,0
BC19Dry,497096.8947,6360834.187,0,0,0
BC20Dry,497564.6276,6360895.508,0,0,0
BC21Dry,497889.0543,6361054.442,0,0,0
BC22Dry,498021.1251,6361509.542,0,0,0
BC23Dry,497606.1715,6361600.908,0,0,0
BC24Dry,497347.1684,6361934.081,0,0,0
BC25Dry,497302.3183,6362436.699,0,0,0
D01Dry,484769.0774,6367540.194,0,0,0
D02Dry,484767.0622,6367025.59,0,0,0
D03Dry,484769.5034,6366534.384,0,0,0
D04Dry,484770.2751,6366033.419,0,0,0
D05Dry,484967.1245,6365631.75,0,0,0
D06Dry,485022.8122,6365131.422,0,0,0
D07Dry,483214.5257,6365079.406,0,0,0
D08Dry,482798.7849,6365080.354,0,0,0
D09Dry,482218.6375,6365081.766,0,0,0
D10Dry,481740.4892,6365079.786,0,0,0
D11Dry,481488.9587,6365384.621,0,0,0
D12Dry,481489.0435,6365889.025,0,0,0
D13Dry,481066.5846,6365959.285,0,0,0
D14Dry,480565.5509,6365961.971,0,0,0
D15Dry,480582.3317,6366280.278,0,0,0
D16Dry,480977.4401,6366523.492,0,0,0
D17Dry,480873.2817,6367296.525,0,0,0
D18Dry,481089.517,6367522.536,0,0,0
D19Dry,481567.6371,6367502.708,0,0,0
D20Dry,482003.8921,6367291.441,0,0,0
D21Dry,482186.6529,6366942.016,0,0,0
D22Dry,482176.3605,6366473.401,0,0,0
D23Dry,482177.9942,6365982.414,0,0,0
D24Dry,482583.5415,6366318.039,0,0,0
D25Dry,482690.1099,6366812.43,0,0,0
M01Dry,508356.5327,6376475.997,0,0,0
M02Dry,508726.545,6376134.021,0,0,0
M03Dry,508949.7892,6375735.073,0,0,0
M04Dry,508933.6028,6375236.125,0,0,0
M05Dry,509352.9415,6375026.997,0,0,0
M06Dry,509691.5729,6374675.479,0,0,0
M07Dry,510158.0691,6374641.756,0,0,0
M08Dry,510665.0216,6374518.838,0,0,0
M09Dry,511140.6386,6374442.933,0,0,0
M10Dry,511617.335,6374335.188,0,0,0
M11Dry,512119.385,6374213.088,0,0,0
M12Dry,512578.0993,6374048.45,0,0,0
M13Dry,512977.0214,6374007.473,0,0,0
M14Dry,513180.4763,6374455.951,0,0,0
M15Dry,513462.6603,6374790.58,0,0,0
M16Dry,513908.2775,6374633.546,0,0,0
M17Dry,514297.1839,6374324.258,0,0,0
M18Dry,514443.2001,6373939.818,0,0,0
M19Dry,514519.0237,6373530.758,0,0,0
M20Dry,514833.9575,6373144.511,0,0,0
M21Dry,514392.8208,6372848.509,0,0,0
M22Dry,513948.2577,6372693.945,0,0,0
M23Dry,513540.9613,6372938.284,0,0,0
M24Dry,513220.4752,6373336.913,0,0,0
M25Dry,512951.4543,6373721.497,0,0,0
M26Dry,509478.0481,6371959.262,0,0,0
M27Dry,509169.967,6372345.111,0,0,0
M28Dry,508734.1862,6372579.966,0,0,0
M29Dry,508523.2795,6372333.827,0,0,0
M30Dry,508161.7518,6372011.983,0,0,0
M31Dry,507920.0038,6371571.413,0,0,0
M32Dry,507558.5077,6371228.927,0,0,0
M33Dry,507075.1876,6371221.746,0,0,0
M34Dry,506175.5818,6371647.372,0,0,0
M35Dry,506554.2156,6371476.742,0,0,0
M36Dry,505732.752,6371743.751,0,0,0
M37Dry,506965.1873,6373106.494,0,0,0
M38Dry,506810.7922,6372739.889,0,0,0
M39Dry,506937.4735,6372312.117,0,0,0
M40Dry,506745.2205,6371883.679,0,0,0
M41Dry,506957.5443,6371557.725,0,0,0
M42Dry,507366.3533,6371318.644,0,0,0
M43Dry,506772.5094,6371258.762,0,0,0
M44Dry,506596.854,6370827.87,0,0,0
M45Dry,506267.2931,6370385.877,0,0,0
M46Dry,505874.0688,6370046.01,0,0,0
