.	Lvvalve	Ldvalve	Llvsep	Lrvsep	Lmsep	Width	
_3_115	33.9	34.1	12.8	12.2	10.0	12.5	
_3_116	27.8	27.5	10.2	9.4	7.4	9.4	
_3_117	27.3	26.8	9.4	9.2	7.1	9.2	
_3_118	27.1	26.9	9.4	9.7	7.7	9.2	
_3_119	28.5	28.2	10.6	10.0	7.0	10.0	
_3_120	29.3	29.1	10.6	10.1	8.4	9.8	
_3_121	27.8	27.5	9.9	9.4	7.7	9.2	
_3_122	24.7	24.2	9.2	9.0	7.3	8.8	
_3_123	25.3	25.1	8.6	8.4	7.0	8.9	
_3_124	22.3	21.5	7.9	7.6	6.1	7.5	
_3_125	20.1	19.5	7.2	6.9	6.0	6.7	
_3_126	15.4	15.2	5.4	5.2	4.4	5.2	
_3_127	20.6	19.7	7.6	7.7	6.1	7.0	
_3_128	39.3	39.2	14.2	14.0	10.5	13.6	
_3_129	34.4	34.2	13.7	12.7	10.5	11.6	
_3_130	25.8	25.3	9.0	8.7	7.5	8.5	
_3_131	36.2	36.0	15.2	14.1	11.9	13.0	
_5_132	36.4	36.0	15.3	15.0	12.7	12.6	
_5_133	24.6	24.2	9.8	9.5	7.6	8.5	
