"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",16907295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2855616680255.69,4400455085254.47,-6353483358910.6,-207844656717.457,-556892538351.414,-7074234653333.45,6498768739221.71,106601333333.333,274715775622.556,572645056419.142,576290860454.444,924633241847.222,405903333333.333,1201882169653.33,347818875791.667,226654058833.333,2385235054797.22,1086007104166.67,-199830049853.451
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",50700452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",14548318829,-13525657832.3994,-6270045586,0,0,0,-65777806707.5998,18846905333.3333,31155894432.7619,0,0,0,0,0,0,0,0,0,68035580511.1111
