Type,Section,Name,TTL,Value
SOA,ANSWER,,85728,a.root-servers.net nstld.verisign-grs.com 2019060200 1800 900 604800 86400
NSEC,ANSWER,,86400,aaa NS SOA RRSIG NSEC DNSKEY
NSEC,ANSWER,,86400,anquan NS DS RRSIG NSEC
RRSIG,ANSWER,,85728,SOA 8 0 86400 20190615050000 20190602040000 25266  Dv7zuorGTjWVaJbIg9EYTdFczogU90Ji+rHhDgcAG1Fmf4pf/K+EKKA7XiPLfyUkcRKcg9THZpGu0KXV1RmHUfmEBswrDqfyOQxOwTqf4SexL6IoLEjN39FpekW8srLbFZCAQqRDRvzz90zfZnR37z26LUhqG+/XGNiuLRr9HRuMC7sTDwBvY+z+KovB1oa8UdJphxVh7xZtvkk+VYglb+vTHXcVRi2OeMoxOqHKwW/doAzM9hh1ncpJoZhUSmcbqBlcK0a3pUSsemGeKFKWCsBeGW5g01vYGPTIW7U1goeT8IH2O9mRncE+kb37OIm4gS6AODHCsZ5kEb4zswhOiA==
RRSIG,ANSWER,,85728,NSEC 8 0 86400 20190615050000 20190602040000 25266  rxLFHsOy0jubKI2qvJu1gOuWW4xL8l6rjwVkJ2gYrsBt45IBVYuAniPqBNvJoHLVLDQvFbU2bwjU5xpVkZyQXB4ZI4L5as8617GD0A35myeR4AiC8tGLr2jqeqLvRhgbQo8yDkuKS25YtnzxlGxO/MTgLMA8GOEsLVwX2jEVRRSRNQ4Ca/KbxLi9BtWBxjzVkWcJ8HXARlWM2LPfWvbyRLwrrbf4SLS+94wlFX/bEiEU3pDAMppz6Z1BcVWX4BPiqFMlUrFZQ16fB8oZXW3m0PmB1U9hs3bWAMpvoCGFnFvvWKk/qtWTylboaqXvUF1whVXiHWqVRq6zoVq8Jhh75w==
RRSIG,ANSWER,,85728,NSEC 8 1 86400 20190615050000 20190602040000 25266  Fg407kqvd8oGNr3K8B9ziXvMs3bp8bbWzNFSVKxHD2XNmq+AocN01djcnyZxDtAmi2Gps6jJK0AKcjqEkaeQI7+1GN10RgEZmn80CEaPZIGaoTQfVPNdZo5upGU9i3l0rjqJC544761JTgq6ZDKpgdu5Cj+Pac/H6KDk2dQ38nZqsVemMCIwUN5B9+qbym+1FJhu9sm7figjulEvXd5OCb7MoHH4rFaM+Aj9ghN3PF1oBFc1zXAdxbOSaLb08El2DVbvsvwGkWrLikUEmqLdsu3sNrPOo/X6/o3CsHhCfjk3u42m6eJTh59p0wiC2yKInC0KlBQO7FCkpJHfER2d3A==
