3036143C7C5F86C020000242,7,2023-08-23, 7:25:05 AM EDT,,-60,48
3036143C7C61358020000F94,13,2023-08-23, 7:16:14 AM EDT,,-59,50
3036143C7C4A50802000CE2F,2,2023-08-23, 7:16:00 AM EDT,,-60,48
3036143C7C5422C02000016B,8,2023-08-23, 7:25:04 AM EDT,,-68,32
3036143C7C396B40200011A9,5,2023-08-23, 7:28:10 AM EDT,,-40,88
3036143C7C36CBC020015260,3,2023-08-23, 7:17:06 AM EDT,,-64,40
3036143C7C578000200000FF,5,2023-08-23, 7:16:02 AM EDT,,-64,40
303614456C0C3F802000023F,2,2023-08-23, 7:29:17 AM EDT,,-61,46
30361431CC4B77402001E19C,1,2023-08-23, 7:19:56 AM EDT,,-48,72
30361431CC61A7C110007667,6,2023-08-23, 7:28:44 AM EDT,,-49,70
30361431CC4B774020026F0C,3,2023-08-23, 7:21:48 AM EDT,,-48,72
3036143C7C5F39002000009A,5,2023-08-23, 7:24:59 AM EDT,,-54,60
303614456C0C3F4020000181,7,2023-08-23, 7:25:01 AM EDT,,-46,76
3036143C7C305CC020000608,1,2023-08-23, 7:29:35 AM EDT,,-38,92
303614456C067D4020000611,3,2023-08-23, 7:21:29 AM EDT,,-55,58
30361431CC4B77C02008EB71,1,2023-08-23, 7:21:29 AM EDT,,-54,60
3036142C840C174060000680,9,2023-08-23, 7:16:15 AM EDT,,-60,48
30361431CC61A7C110007657,13,2023-08-23, 7:25:09 AM EDT,,-58,52
30361431CC4B77C02008F7D1,7,2023-08-23, 7:22:16 AM EDT,,-54,60
3036143C7C32968020000A20,2,2023-08-23, 7:20:59 AM EDT,,-60,48
3036143C7C504A00200043AA,7,2023-08-23, 7:21:33 AM EDT,,-52,64
3036143C7C4D4300200002C7,9,2023-08-23, 7:25:05 AM EDT,,-66,36
30361431CC4B77802000A92E,3,2023-08-23, 7:18:17 AM EDT,,-56,56
30361431CC4B77402002748C,5,2023-08-23, 7:23:00 AM EDT,,-56,56
30361431CC61A7C110028A7A,3,2023-08-23, 7:26:53 AM EDT,,-60,48
303614456C0579802000001A,2,2023-08-23, 7:29:30 AM EDT,,-40,88
